euring_code,scientific_name,language_code,common_name
00090,Podiceps cristatus,sl,čopasti ponirek
00090,Podiceps cristatus,sr,Ćubasti gnjurac
00090,Podiceps cristatus,sv,skäggdopping
00090,Podiceps cristatus,tr,Bahri
00090,Podiceps cristatus,uk,пірникоза велика
00100,Podiceps grisegena,be,Шэрашчокая коўра
00100,Podiceps grisegena,bg,Червеноврат гмурец
00100,Podiceps grisegena,cs,potápka rudokrká
00100,Podiceps grisegena,da,Gråstrubet Lappedykker
00100,Podiceps grisegena,de,Rothalstaucher
00100,Podiceps grisegena,el,Κοκκινοβουτηχτάρι
00100,Podiceps grisegena,en,Red-necked Grebe
00100,Podiceps grisegena,es,Somormujo cuellirrojo
00100,Podiceps grisegena,et,hallpõsk-pütt
00100,Podiceps grisegena,fi,härkälintu
00100,Podiceps grisegena,fr,Grèbe jougris
00100,Podiceps grisegena,hr,riđogrli gnjurac
00100,Podiceps grisegena,hu,vörösnyakú vöcsök
00100,Podiceps grisegena,is,Sefgoði
00100,Podiceps grisegena,it,Svasso collorosso
00100,Podiceps grisegena,lt,rudakaklis kragas
00100,Podiceps grisegena,lv,pelēkvaigu dūkuris
00100,Podiceps grisegena,mk,црвеноврат нуркач
00100,Podiceps grisegena,nl,Roodhalsfuut
00100,Podiceps grisegena,no,gråstrupedykker
00100,Podiceps grisegena,pl,perkoz rdzawoszyi
00100,Podiceps grisegena,pt,mergulhão-de-pescoço-ruivo
00100,Podiceps grisegena,ro,Corcodel cu gât roşu
00100,Podiceps grisegena,ru,Серощёкая поганка
00100,Podiceps grisegena,sk,potápka červenokrká
00100,Podiceps grisegena,sl,rjavovrati ponirek
00100,Podiceps grisegena,sr,Riđovrati gnjurac
00100,Podiceps grisegena,sv,gråhakedopping
00100,Podiceps grisegena,tr,Kızıl Boyunlu Batağan
00100,Podiceps grisegena,uk,пірникоза сірощока
00110,Podiceps auritus,be,Чырванашыйная коўра
00110,Podiceps auritus,bg,Ушат гмурец
00110,Podiceps auritus,cs,potápka žlutorohá
00110,Podiceps auritus,da,Nordisk Lappedykker
00110,Podiceps auritus,de,Ohrentaucher
00110,Podiceps auritus,el,Χειμωνοβουτηχτάρι
00110,Podiceps auritus,en,Horned Grebe
00110,Podiceps auritus,es,Zampullín cuellirrojo
00110,Podiceps auritus,et,sarvikpütt
00110,Podiceps auritus,fi,mustakurkku-uikku
00110,Podiceps auritus,fr,Grèbe esclavon
00110,Podiceps auritus,hr,ušati gnjurac
00110,Podiceps auritus,hu,füles vöcsök
00110,Podiceps auritus,is,Flórgoði
00110,Podiceps auritus,it,Svasso cornuto
00110,Podiceps auritus,lt,raguotasis kragas
00110,Podiceps auritus,lv,ragainais dūkuris
00110,Podiceps auritus,mk,ушест нуркач
00110,Podiceps auritus,nl,Kuifduiker
00110,Podiceps auritus,no,horndykker
00110,Podiceps auritus,pl,perkoz rogaty
00110,Podiceps auritus,pt,mergulhão-de-penachos
00110,Podiceps auritus,ro,Corcodel de iarnă
00110,Podiceps auritus,ru,Красношейная поганка
00110,Podiceps auritus,sk,potápka ušatá
00110,Podiceps auritus,sl,zlatouhi ponirek
00110,Podiceps auritus,sr,Ušati gnjurac
00110,Podiceps auritus,sv,svarthakedopping
00110,Podiceps auritus,tr,Kulaklı Batağan
00110,Podiceps auritus,uk,пірникоза червоношия
00120,Podiceps nigricollis,be,Чарнашыйная коўра
00120,Podiceps nigricollis,bg,Черноврат гмурец
00120,Podiceps nigricollis,cs,potápka černokrká
00120,Podiceps nigricollis,da,Sorthalset Lappedykker
00120,Podiceps nigricollis,de,Schwarzhalstaucher
00120,Podiceps nigricollis,el,Μαυροβουτηχτάρι
00120,Podiceps nigricollis,en,Black-necked Grebe
00120,Podiceps nigricollis,es,Zampullín cuellinegro
00120,Podiceps nigricollis,et,mustkael-pütt
00120,Podiceps nigricollis,fi,mustakaulauikku
00120,Podiceps nigricollis,fr,Grèbe à cou noir
00120,Podiceps nigricollis,hr,crnogrli gnjurac
00120,Podiceps nigricollis,hu,feketenyakú vöcsök
00120,Podiceps nigricollis,is,Stargoði
00120,Podiceps nigricollis,it,Svasso piccolo
00120,Podiceps nigricollis,lt,juodakaklis kragas
00120,Podiceps nigricollis,lv,melnkakla dūkuris
00120,Podiceps nigricollis,mk,црноврат нуркач
00120,Podiceps nigricollis,nl,Geoorde Fuut
00120,Podiceps nigricollis,no,svarthalsdykker
00120,Podiceps nigricollis,pl,(perkoz) zausznik
00120,Podiceps nigricollis,pt,mergulhão-de-pescoço-preto
00120,Podiceps nigricollis,ro,Corcodel cu gât negru
00120,Podiceps nigricollis,ru,Черношейная поганка
00120,Podiceps nigricollis,sk,potápka čiernokrká
00120,Podiceps nigricollis,sl,črnovrati ponirek
00120,Podiceps nigricollis,sr,Crnovrati gnjurac
00120,Podiceps nigricollis,sv,svarthalsad dopping
00120,Podiceps nigricollis,tr,Kara Boyunlu Batağan
00120,Podiceps nigricollis,uk,пірникоза чорношия
00130,Aechmophorus occidentalis,cs,potápka západní
00130,Aechmophorus occidentalis,da,Vestlig Lappedykker
00130,Aechmophorus occidentalis,de,Renntaucher
00130,Aechmophorus occidentalis,en,Western Grebe
00130,Aechmophorus occidentalis,es,Achichilique común
00130,Aechmophorus occidentalis,et,suurpütt
00130,Aechmophorus occidentalis,fi,pitkäkaulauikku
00130,Aechmophorus occidentalis,fr,Grèbe élégant
00130,Aechmophorus occidentalis,hr,dugovrati gnjurac
00130,Aechmophorus occidentalis,hu,nyugati vöcsök
00130,Aechmophorus occidentalis,it,Svasso occidentale
00130,Aechmophorus occidentalis,lt,vakarinis Šiaurės Amerikos kragas
00130,Aechmophorus occidentalis,lv,slaidais dūkuris
00130,Aechmophorus occidentalis,nl,Zwanenhalsfuut
00130,Aechmophorus occidentalis,no,svanedykker
00130,Aechmophorus occidentalis,pl,perkoz wielki
00130,Aechmophorus occidentalis,pt,mergulhão-americano-ocidental
00130,Aechmophorus occidentalis,ru,Западная поганка
00130,Aechmophorus occidentalis,sk,potápka ostrozobá
00130,Aechmophorus occidentalis,sr,Zapadni američki gnjurac
00130,Aechmophorus occidentalis,sv,mörk svandopping
00130,Aechmophorus occidentalis,tr,İnce Gagalı Batağan
00130,Aechmophorus occidentalis,uk,пірникоза західна
00140,Thalassarche melanophris,bg,Черновежд албатрос
00140,Thalassarche melanophris,cs,albatros černobrvý
00140,Thalassarche melanophris,da,Sortbrynet Albatros
00140,Thalassarche melanophris,de,Schwarzbrauenalbatros
00140,Thalassarche melanophris,en,Black-browed Albatross
00140,Thalassarche melanophris,es,Albatros ojeroso
00140,Thalassarche melanophris,et,mustkulm-albatross
00140,Thalassarche melanophris,fi,mustakulma-albatrossi
00140,Thalassarche melanophris,fr,Albatros à sourcils noirs
00140,Thalassarche melanophris,hr,žutokljuni albatros
00140,Thalassarche melanophris,hu,dolmányos albatrosz
00140,Thalassarche melanophris,is,Svaltrosi
00140,Thalassarche melanophris,it,Albatros sopracciglineri
00140,Thalassarche melanophris,lt,siauraakis albatrosas
00140,Thalassarche melanophris,lv,melnaču albatross
00140,Thalassarche melanophris,nl,Wenkbrauwalbatros
00140,Thalassarche melanophris,no,svartbrynalbatross
00140,Thalassarche melanophris,pl,albatros czarnobrewy
00140,Thalassarche melanophris,pt,albatroz-de-sobrancelha
00140,Thalassarche melanophris,ru,Чернобровый альбатрос
00140,Thalassarche melanophris,sk,albatros čiernobrvý
00140,Thalassarche melanophris,sl,falklandski albatros
00140,Thalassarche melanophris,sr,Albatros crnih obrva
00140,Thalassarche melanophris,sv,svartbrynad albatross
00140,Thalassarche melanophris,tr,Kara Kaşlı Albatros
00140,Thalassarche melanophris,uk,альбатрос чорнобровий
00151,Thalassarche chlororhynchos,bg,Жълтоклюн албатрос
00151,Thalassarche chlororhynchos,cs,albatros pestrozobý
00151,Thalassarche chlororhynchos,da,Gulnæbbet Albatros
00151,Thalassarche chlororhynchos,de,Gelbnasenalbatros
00151,Thalassarche chlororhynchos,en,Atlantic Yellow-nosed Albatross
00151,Thalassarche chlororhynchos,es,Albatros clororrinco atlántico
00151,Thalassarche chlororhynchos,et,salealbatross
00151,Thalassarche chlororhynchos,fi,hoikka-albatrossi
00151,Thalassarche chlororhynchos,fr,Albatros à nez jaune
00151,Thalassarche chlororhynchos,hr,žutonosi albatros
00151,Thalassarche chlororhynchos,hu,sárgaorrú albatrosz
00151,Thalassarche chlororhynchos,is,Hreggtrosi
00151,Thalassarche chlororhynchos,it,Albatros beccogiallo atlantico
