place_code,country_code,active,latin_name
DK07,DNK,false,Fan?/R?m?/North Frisian Islands
DK10,DNK,false,Bornholm
DK15,DNK,false,K?benhavn
DK20,DNK,false,Frederiksborg
DK25,DNK,false,Roskilde
DK30,DNK,false,Vestsj?lland
DK35,DNK,false,Storstr?m
DK40,DNK,false,Bornholms
DK42,DNK,false,Fyn
DK50,DNK,false,S?nderjyllands
DK55,DNK,false,Ribe
DK60,DNK,false,Vejle
DK65,DNK,false,Ringk?bing
DK70,DNK,false,?rhus
DK76,DNK,false,Viborg
DK80,DNK,false,Nordjyllands
DKHS,DNK,true,HovedStaden
DKMJ,DNK,true,MidtJylland
DKNJ,DNK,true,NordJylland
DKSD,DNK,true,SydDanmark
DKSL,DNK,true,Sj?lLand
EK00,AND,true,Andorra
EK23,AND,false,Andorra
ER--,IRL,true,Ireland
ERCK,IRL,true,Cork
ERCL,IRL,true,Clare
ERCV,IRL,true,Cavan
ERCW,IRL,true,Carlow
ERDO,IRL,true,Donegal
ERDU,IRL,true,Dublin
ERGA,IRL,true,Galway
ERKD,IRL,true,Kildare
ERKE,IRL,true,Kerry
ERKK,IRL,true,Kilkenny
ERLG,IRL,true,Longford
ERLK,IRL,true,Limerick
ERLM,IRL,true,Leitrim
